URL,Status Code,Status,Inlinks,Redirect URI
http://benefits.va.gov/INSURANCE/forms/29-0188.pdf,302,Found,1,https://benefits.va.gov/INSURANCE/forms/29-0188.pdf
http://benefits.va.gov/INSURANCE/forms/29-4364.pdf,302,Found,1,https://benefits.va.gov/INSURANCE/forms/29-4364.pdf
http://benefits.va.gov/INSURANCE/forms/29-9.htm,302,Found,1,https://benefits.va.gov/INSURANCE/forms/29-9.htm
http://benefits.va.gov/INSURANCE/forms/8284.htm,302,Found,1,https://benefits.va.gov/INSURANCE/forms/8284.htm
http://benefits.va.gov/INSURANCE/forms/8284A.htm,302,Found,1,https://benefits.va.gov/INSURANCE/forms/8284A.htm
http://benefits.va.gov/INSURANCE/forms/SGLV_8600A_ed2017-01.pdf,302,Found,1,https://benefits.va.gov/INSURANCE/forms/SGLV_8600A_ed2017-01.pdf
http://benefits.va.gov/INSURANCE/resources_handbook_ins_chapter5.asp,302,Found,1,https://benefits.va.gov/INSURANCE/resources_handbook_ins_chapter5.asp
http://benefits.va.gov/INSURANCE/resources-contact.asp,302,Found,1,https://benefits.va.gov/INSURANCE/resources-contact.asp
http://benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp,302,Found,1,https://benefits.va.gov/Pension/current_rates_Parents_DIC_pen.asp
http://gravelocator.cem.va.gov/,302,Found,1,https://gravelocator.cem.va.gov/
http://inquiry.vba.va.gov/weamspub/buildSearchInstitutionCriteria.do;jsessionid=qtMbSxQFpzyL7GpnQrtnNGv6G9CGQQvb2YqM9Cvw3vB2pv2lXhfJ!-1531379871,302,Found,1,https://inquiry.vba.va.gov/weamspub/buildSearchInstitutionCriteria.do;jsessionid=qtMbSxQFpzyL7GpnQrtnNGv6G9CGQQvb2YqM9Cvw3vB2pv2lXhfJ!-1531379871
http://inquiry.vba.va.gov/weamspub/buildSearchNE.do,302,Found,1,https://inquiry.vba.va.gov/weamspub/buildSearchNE.do
http://usa.gov/,307,HSTS Policy,244,https://usa.gov/
http://vaforvets.va.gov/,302,Found,13,https://vaforvets.va.gov/
http://vaforvets.va.gov/hr/RVECS/pages/rvecs-map.asp,302,Found,1,https://vaforvets.va.gov/hr/RVECS/pages/rvecs-map.asp
http://www.archives.gov/veterans/military-service-records/,307,HSTS Policy,1,https://www.archives.gov/veterans/military-service-records/
http://www.benefits.va.gov/benefits/factsheets/serviceconnected/AO_c123.pdf,302,Found,1,https://www.benefits.va.gov/benefits/factsheets/serviceconnected/AO_c123.pdf
http://www.benefits.va.gov/BENEFITS/factsheets/serviceconnected/MST.pdf,302,Found,1,https://www.benefits.va.gov/BENEFITS/factsheets/serviceconnected/MST.pdf
http://www.benefits.va.gov/benefits/mstcoordinators.asp,302,Found,1,https://www.benefits.va.gov/benefits/mstcoordinators.asp
http://www.benefits.va.gov/benefits/offices.asp,302,Found,5,https://www.benefits.va.gov/benefits/offices.asp
http://www.benefits.va.gov/compensation/dbq_ListBySymptom.asp,302,Found,2,https://www.benefits.va.gov/compensation/dbq_ListBySymptom.asp
http://www.benefits.va.gov/compensation/docs/AO_C123_AFSpecialityCodesUnits.pdf,302,Found,2,https://www.benefits.va.gov/compensation/docs/AO_C123_AFSpecialityCodesUnits.pdf
http://www.benefits.va.gov/COMPENSATION/special_Benefit_Allowances_2012.asp,302,Found,1,https://www.benefits.va.gov/COMPENSATION/special_Benefit_Allowances_2012.asp
http://www.benefits.va.gov/COMPENSATION/types-dependency_and_indemnity.asp,302,Found,2,https://www.benefits.va.gov/COMPENSATION/types-dependency_and_indemnity.asp
http://www.benefits.va.gov/gibill/choosing_a_school.asp,302,Found,2,https://www.benefits.va.gov/gibill/choosing_a_school.asp
http://www.benefits.va.gov/gibill/comparison_tool/about_this_tool.asp,302,Found,2,https://www.benefits.va.gov/gibill/comparison_tool/about_this_tool.asp
http://www.benefits.va.gov/gibill/docs/factsheets/OJT_Factsheet.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/factsheets/OJT_Factsheet.pdf
http://www.benefits.va.gov/GIBILL/docs/factsheets/topup.pdf,302,Found,1,https://www.benefits.va.gov/GIBILL/docs/factsheets/topup.pdf
http://www.benefits.va.gov/gibill/docs/factsheets/Transferability_Factsheet.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/factsheets/Transferability_Factsheet.pdf
http://www.benefits.va.gov/gibill/docs/job_aids/CareerScope_Report_Interpretation.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/job_aids/CareerScope_Report_Interpretation.pdf
http://www.benefits.va.gov/GIBILL/docs/job_aids/ComparisonToolData.xlsx,302,Found,2,https://www.benefits.va.gov/GIBILL/docs/job_aids/ComparisonToolData.xlsx
http://www.benefits.va.gov/gibill/docs/pamphlets/ch30_pamphlet.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/pamphlets/ch30_pamphlet.pdf
http://www.benefits.va.gov/gibill/docs/pamphlets/ch32_pamphlet.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/pamphlets/ch32_pamphlet.pdf
http://www.benefits.va.gov/gibill/docs/pamphlets/ch33_pamphlet.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/pamphlets/ch33_pamphlet.pdf
http://www.benefits.va.gov/gibill/docs/pamphlets/ch35_pamphlet_2.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/pamphlets/ch35_pamphlet_2.pdf
http://www.benefits.va.gov/gibill/docs/pamphlets/summary-of-national-call-to-service-program.pdf,302,Found,1,https://www.benefits.va.gov/gibill/docs/pamphlets/summary-of-national-call-to-service-program.pdf
