Existing VETS.GOV url,Existing VA.GOV url,NEW URL,Notes
www.vets.gov/disability-benefits/,www.benefits.va.gov/compensation/types-disability.asp,/disability/,
www.vets.gov/disability-benefits/eligibility/,www.benefits.va.gov/compensation/claims-postservice-index.asp,/disability/eligibility/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/,www.benefits.va.gov/compensation/claims-postservice-exposures-index.asp,/disability/eligibility/hazardous-materials-exposure/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/specific-environmental-hazards/,www.benefits.va.gov/compensation/claims-postservice-exposures-environmental_hazards.asp,/disability/eligibility/hazardous-materials-exposure/specific-environmental-hazards/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/,www.benefits.va.gov/compensation/claims-postservice-agent_orange.asp,/disability/eligibility/hazardous-materials-exposure/agent-orange/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/registry-health-exam/,,/disability/eligibility/hazardous-materials-exposure/agent-orange/registry-health-exam/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/diseases/,,/disability/eligibility/hazardous-materials-exposure/agent-orange/related-diseases/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/non-hodgkins/,,/disability/eligibility/hazardous-materials-exposure/agent-orange/non-hodgkins-lymphoma/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/c-123/,www.benefits.va.gov/compensation/agentorange-c123.asp,/disability/eligibility/hazardous-materials-exposure/agent-orange/c-123-aircraft/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/thailand-military-bases/,,/disability/eligibility/hazardous-materials-exposure/agent-orange/thailand-military-bases/,
www.vets.gov/disability-benefits/conditions/exposure-to-hazardous-materials/agent-orange/water-vietnam/,,/disability/eligibility/hazardous-materials-exposure/agent-orange/vietnam-waters,
